cpf;nome paciente;email paciente;data nascimento paciente;endereço/rua paciente;cidade paciente;estado paciente;crm médico;crm médico estado;nome médico;email médico;token resultado exame;data exame;tipo exame;limites tipo exame;resultado tipo exame
987.654.321-00;Asuna Yuuki;asuna.yuuki@example.com;1996-09-30;Rua da Esperança 456;Kawagoe;Saitama;B000BJ20J4;PI;Jin Kazama;jin.kazama@example.com;YUAC17;2021-08-06;hemácias;45-52;99
987.654.321-00;Asuna Yuuki;asuna.yuuki@example.com;1996-09-30;Rua da Esperança 456;Kawagoe;Saitama;B000BJ20J4;PI;Jin Kazama;jin.kazama@example.com;YUAC17;2021-08-06;leucócitos;9-61;90
987.654.321-00;Asuna Yuuki;asuna.yuuki@example.com;1996-09-30;Rua da Esperança 456;Kawagoe;Saitama;B000BJ20J4;PI;Jin Kazama;jin.kazama@example.com;YUAC17;2021-08-06;plaquetas;11-93;95
987.654.321-00;Asuna Yuuki;asuna.yuuki@example.com;1996-09-30;Rua da Esperança 456;Kawagoe;Saitama;B000BJ20J4;PI;Jin Kazama;jin.kazama@example.com;YUAC17;2021-08-06;hdl;19-75;60
987.654.321-00;Asuna Yuuki;asuna.yuuki@example.com;1996-09-30;Rua da Esperança 456;Kawagoe;Saitama;B000BJ20J4;PI;Jin Kazama;jin.kazama@example.com;YUAC17;2021-08-06;ldl;45-54;85
987.654.321-00;Asuna Yuuki;asuna.yuuki@example.com;1996-09-30;Rua da Esperança 456;Kawagoe;Saitama;B000BJ20J4;PI;Jin Kazama;jin.kazama@example.com;YUAC17;2021-08-06;vldl;48-72;78
987.654.321-00;Asuna Yuuki;asuna.yuuki@example.com;1996-09-30;Rua da Esperança 456;Kawagoe;Saitama;B000BJ20J4;PI;Jin Kazama;jin.kazama@example.com;YUAC17;2021-08-06;glicemia;25-83;92
987.654.321-00;Asuna Yuuki;asuna.yuuki@example.com;1996-09-30;Rua da Esperança 456;Kawagoe;Saitama;B000BJ20J4;PI;Jin Kazama;jin.kazama@example.com;YUAC17;2021-08-06;tgo;50-84;85
987.654.321-00;Asuna Yuuki;asuna.yuuki@example.com;1996-09-30;Rua da Esperança 456;Kawagoe;Saitama;B000BJ20J4;PI;Jin Kazama;jin.kazama@example.com;YUAC17;2021-08-06;tgp;38-63;15
987.654.321-00;Asuna Yuuki;asuna.yuuki@example.com;1996-09-30;Rua da Esperança 456;Kawagoe;Saitama;B000BJ20J4;PI;Jin Kazama;jin.kazama@example.com;YUAC17;2021-08-06;eletrólitos;2-68;88
987.654.321-00;Asuna Yuuki;asuna.yuuki@example.com;1996-09-30;Rua da Esperança 456;Kawagoe;Saitama;B000BJ20J4;PI;Jin Kazama;jin.kazama@example.com;YUAC17;2021-08-06;tsh;25-80;70
987.654.321-00;Asuna Yuuki;asuna.yuuki@example.com;1996-09-30;Rua da Esperança 456;Kawagoe;Saitama;B000BJ20J4;PI;Jin Kazama;jin.kazama@example.com;YUAC17;2021-08-06;t4-livre;34-60;88
987.654.321-00;Asuna Yuuki;asuna.yuuki@example.com;1996-09-30;Rua da Esperança 456;Kawagoe;Saitama;B000BJ20J4;PI;Jin Kazama;jin.kazama@example.com;YUAC17;2021-08-06;ácido úrico;15-61;10
